gene_name,alzheimers,asthma,coronaryatherosclerosis,hypertension,hernia,osteoarthrosis
ENSG00000000419,0.0009560610243742,0.0262323167313639,0.0226175339544714,0.0309271755073184,0.0236497644496264,0.0275229877301098
ENSG00000000457,0.0207716416594588,0.0263935771559443,0.586919742695911,0.0197913623751979,0.0421010310490148,0.0328926843675963
ENSG00000000460,0.0276221440068423,0.0317174247182967,0.0581774655203415,0.0127221536261183,0.0243123893137974,0.0262419744322366
ENSG00000000938,0.0054365120711967,0.0018331269000549,0.0049036743517092,0.0871443104105152,0.0073038167300236,0.0050646923423841
ENSG00000001036,0.335510118039257,0.0425570098695881,0.428178887762804,0.0541478010387109,0.0028096860642266,0.0233960340365083
ENSG00000001084,0.0282642346970006,0.0271507686171896,0.0610094326489313,0.0550963764698782,0.0226451322794925,0.151501955698152
ENSG00000001167,0.0231243612266314,0.044952609138398,0.036776874981278,0.0356267225895544,0.0313347862002025,0.0200449123078984
ENSG00000001460,0.303219739601677,0.317687558682749,0.0355779167761838,0.0390455606282253,0.0472507439947085,0.0265621945830886
ENSG00000001461,0.0016226356478817,0.294688079443567,0.0358084689527125,0.0206304432470296,0.0467621500917967,0.0392603834154546
ENSG00000001561,0.0202788492019381,0.0340574176768542,0.0540291175341961,0.0262196721671538,0.0320747076795187,0.368162717403592
ENSG00000001617,0.180839814049312,0.289262745203423,0.0213469473502655,0.031756431999082,0.613391574480401,0.0483802248179776
ENSG00000001626,0.0237299352264786,0.0474155497393627,0.0878751469557943,0.154680098428926,5.1762429548831e-05,0.090655385417246
ENSG00000001629,1.63811466888178e-05,0.0318080394454368,0.0209239410167569,0.170796616351435,0.0003335192203005,0.0380876837161506
ENSG00000001630,1.62679071282969e-05,0.0325138270969031,2.55344050382015e-05,0.158454805289319,0.0001081985592401,0.0018585364530113
ENSG00000001631,1.63371125790614e-05,0.0320346775346996,0.0209239410184194,0.257134873928392,0.0002937851157522,0.0381698389237501
ENSG00000002016,0.0208421357216166,0.683391460991427,0.372940665410733,0.0567846181554224,0.042863646154537,0.0201125683220928
ENSG00000002079,0.0263042833759008,0.0384107743764408,0.0407965563640965,0.059905510499524,0.0743084541947029,0.022735548035216
